ID,ProtoTriqui,WordClass,English,Spanish,ChicIPA,ChicOrth,Copa,other
345,futáá,N,fly,mosca,futá!,xutan',ftaa°,
346,futuu,N,"rat, mouse","rata, ratón",ʃutu’,xutu’,ftuu”,"“ʃia N bat murciélago $ú%xun"" Ch 300°ʔ Co"
347,taa,N,plain,llano,taʔ,taʔ,taaʔ,
348,taa,Vi,beontop,estar encima,ta!,ta',taaʔ,
349,tah,Vt ,say,decir,tah,"taj""",tah,
350,takaa,N,hill,loma,dakáʔ,dacan',takáaʔ,
351,takitakúú o,N,nose,nariz,daki',daquin',takúúʔ,
352,takoo,N,foot,pie,dako',daco',takooʔ,
353,tanee,N,elbow,codo,daneʔ,daneʔ,taneeʔ,
354,tanihtunih,Vc,lower,bajar,dunihʔ,dunij”,tanih”ʔ,
355,tanii,Pre,"between, among, in the middle of","entre, en medio de","dani""",dani,tanuuʔ,
356,tatáʔ,N,lung,pulmón,dataʔ'4,datanan,"ta""t4ʔʔ",
357,tatʃatutʃa,Vc,"feed, nourish",alimentar,dufaʔʔ,duxa”,"tatʃa""",
358,taʔaa,Vt ,"grab, grasp, catch","agarrar, coger",daʔa,da'al,taʔaaʔ 2,
359,taʔah,Adj,"half, middle",mitad,daʔahʔ,da'aj”,taʔah,
360,taʔlohteʔloh o,N,rooster,gallo,deʔloh’o,de’loj’o,taʔlohtaʔloo”ʔ,
361,taʔíngaʔ,N,"sign, signal",seña,daʔngaʔa,da'nga”a,tamgaʔ,
362,taʔngaʔ,Vt,allocate,repartir,daʔngaʔ,da’nga’,taʔngaʔ’,
363,taʔmii,N,child,"hija, hijo",daʔni',da’ni',taʔniiʔ,
364,taʔniʔ,N,uncle,tío,daʔni!,da’ni',taʔnuʔʔ,
365,tah,N,thorn,espina,tah°a,tanj’an,táh,
366,t4ʔ,N,ear of corn,mazorca,t424h,tan”anj,t47,
367,tigih,Vt ,put in,meter,digih”,diguij”,tigih®,
368,tikaβiʔ,Ve,"kill, murder","matar, asesinar",digawiʔ”,digahui’ʔ°,tikaβiʔʔ,
369,tikaʔmaa,Vc,"heat, warm",calentar,digaʔmiʔ,diga’man’,tikaʔmaa,
370,tinaʔahtunaʔah,Vc,"turn off, shut off",apagar,dunaʔah”™,duna’aj°,tinaʔahʔ,
371,tint,N,nopal a kind of cactus,nopal,dini,dini,tino”,
372,tinik,N,brother,hermano,dini!,dini',tinuu’,
373,tiffi,Vt,pinch,pellizcar,difi',ditin',titútʔ,
374,tifnii,Np,corn,maíz,diʔni!,di’ni',tiʔnuuʔ,
375,fih,Num,eight,ocho,tih',tinj Co túhʔ Co,NA,NA
376,to,N,grindstone,metate,to,to%,to”ʔ,
377,tokoʔtukoʔ,Ve,"hang, put up",colgar,tukoʔ,tuco”,tokoʔ,
378,tokoʔo,Vc,make somebody drink,hacer beber,dogoʔo”,"dogo’o""",tokoʔ0°,
379,too,N,milk,leche,to,to,too”,
380,tukotuku,Vi,play,jugar,tuku,tucu’,tukotiko”,
381,tukuta,Vc,"glue, stick",pegar,dugutaʔ,duguta”,tukutaʔ,
382,tukutsee,Vc,"wet, moisten",mojar,dugutseʔ”,duguchre,tukutseeʔʔ,
383,tukuʔnah,Vc,name,"nombrar, dar nombre",duguʔnahʔ,dugu'naj”,tukuʔnahʔ,
384,"tuk""a",Np,house,casa,"duk""aʔ",ducua”,"tuk""a",
385,"tuk""ane",Ve,bathe,bañar,"dug""ane”",duguane,"tuk""ane”ʔ",
386,"tuk""atʃee",Vc,make somebody walk,hacer caminar,"dug""atʃe",duguache',"tuk""atʃeeʔ",
387,"tuk""atʃih",Vc,"raise, rear, breed, adopt","criar, adoptar","dug""atʃih”",duguachij,"tuk""atʃih”",
388,"tuk""atʃiʔ",N,niece,sobrina,"dug""atʃiʔ",duguachi”,"tuk""atʃiʔ",
389,tuk”atʃi,Ve,pass,hacer pasar,"dug”""atʃʔ",duguachinʔ,"tuk""atʃí [tuk""aché]",
390,"tuk""aʔmgaʔ",Vc,make somebody laugh,hacer reír,"dug""aʔngaʔ”",dugua nga”,"tuk""aʔngaʔ",
391,"tuk""4a o",N,"groove, furrow, rut, line","surco, linea",duk™a’,ducuan',"tuk ""44",
392,tunah,Vc,"leave, abandon","dejar, abandonar",dunahʔ,dunajʔ,tunahʔ,
393,tuneʔ,N,tail,cola,duneʔ,dune”,tune”,
394,tusih,Vc,"complete, finish",hacer completar,dusihʔ,dusijʔ,tuzihʔ,
395,tutʃuʔβiʔ,Vc,"scare, frighten, surprise","espantar, sorprender",dufuʔwiʔ,duxw'ui”,tutʃuʔβiʔʔ,
396,tutsii,Adj,blind,ciego,dutsi,duchri”,tutsii’ʔ,
397,tuʔ2βa,N,"mouth, edge","boca, orilla",duʔwaʔ,du’ua’,tuʔβaʔ,
398,tuʔβetuʔβi,N,aunt,tía,duʔwi',dw'ui',tuʔβeʔ,
399,tuʔβee,Adj,expensive,caro,duʔwe,"du""ue",tuʔβeeʔ,
400,tuʔβeh,Vt,sell,vender,duʔwehʔ,dw'uejʔ,tuʔβehʔ,
401,t,N,blood,sangre,tiʔ,tun,tú” [137],
402,tsetsi,N,elote,elote,tsi”,tsi,tseʔ,
403,tsii,Adj,hard meat,duro,tsiʔ,tsiʔ,tsii!,
404,"tsi2,",Adj,sweet,dulce,tsiʔ°,tsi’°,tsiʔ’,
405,tʃa,Vt ,eat,comer,faʔ,xa,tʃa,
406,tʃabetʃabi,Vt,lick,lamer,ʃawi’,xahui,tʃaβe,
407,tʃafii,N,"butterfly, drawing","mariposa, dibujo",ʃawiʔʔ,xahui,tʃabii”,
408,tʃamáh,Vt,swallow,tragar,famáhʔ,xamanj”,tʃamahʔ,
409,tʃana,N,woman,mujer,fanaʔ,xana’,tʃa°na’,
410,tʃangaʔ,Adv,"truly, really",de veras,ʃangaʔʔ,xanga’’,tʃangaʔ Afingaʔ,
411,tʃatáá,N,pineapple,pifia,fat’,xatan,tʃa’taa'ʔ,
412,tʃaʔaa_ =,N,hummingbird,"colibrí, chupamirto",ʃata”,xa’a°,tʃaʔaaʔ ',
413,tʃaʔaa,N,dove,paloma,faʔá”,xa'an”,tʃaʔá2ʔ,
414,tʃaʔáá,N,skunk,zorrillo,fatáʔ,xan'anʔ,tʃaʔá4ʔ,
415,tʃaʔβee,N,nit,liendre,faʔwe',xa’ue',tʃaʔβee°,
416,tʃaʔβii,N,gnat,mosco,faʔwi”,xa’ui’,tʃaʔβiiʔʔ,
417,tʃafnih,Num,-thirteen,trece,faUnihʔ,"xamij""",tʃaʔnuh!,
418,tʃaʔuu,N,owl,búho,fatu”,xa'u”,tʃafuu”,
419,tʃaʔyah,N,coyote,coyote,faʔyáhʔ,xa”yanjʔ,tʃaʔyaáh”,
420,tʃeʔetʃidi,N,foot,pie,$iʔió,"xi""i",tʃeʔeʔ,
421,tʃia,N,neck,"cuello, pescuezo",ʃiaʔ,"xia""",tʃia’,
422,fiaa,N,crab,cangrejo,ʃid,xian’,tʃida’,
423,tʃiaʔ,Adj,"tasty, delicious","sabroso, delicioso",fiaʔ,xian’°,1514ʔ!,
424,tʃih,Num,seven,siete,tʃih,chij,t5ihʔ,
425,tʃinga,N,fence,cerca,fingaʔ,xinga”,tʃinga”,
426,tʃioo,N,comal,comal,fio’,xio',tʃioo”,
427,fi2,Num,ten,diez,t$i2,chi,tʃiʔʔ,
428,tʃifii,Adj,bad,malo,fiʔi,xi’i’,tʃitii’,
429,tʃiʔii,N,"sickness, illness",enfermedad,ʃit”,xii,"151210""",
430,tʃilngah,N,excrement,excremento,fiʔngah,xi’ngaj,tʃiʔngah,
431,tʃfuñee,N,dog,perro,fuwe”,xuhue”,tʃuñeeʔ,
432,tʃubih,Num,twelve,doce,fuwih',xuhuij',tʃuñih!,
433,tʃfumáʔ,N,"town, village",pueblo,fumaʔa4,xuman'an,tʃumaʔʔ,
434,tʃumetʃumi,N,barn owl,lechuza,fumi,xumiʔ,tʃume,
435,tʃunee,N,fox,zorro,funeʔ,xune”,tʃunee”,
436,tʃutʃee,N,hen,gallina,ʃutʃe,xuche,tʃutʃee”tʃitʃeetʃee”,
437,tʃutʃih,N,louse,piojo,futʃih'i,xuchij%,tʃutsihtʃitgihtinʔ,
438,tʃu2βiʔ,Vi,"be scared, be frightened","tener miedo, espantarse",fu2wiʔ,xwui”,tʃuʔβiʔ,
439,tsaa,N,tortilla,tortilla,tsaʔ,chraʔ,tsaaʔ,
440,tsaʔ,N,"song, music","canción, música",tsaʔ’ a,chraa,tsaʔ,
441,tseh,N,road,camino,tseh’e,chrej’e,tseh”,
442,tsiʔ,N,pasture,pasto,tsiʔ°i,chrin’in,tsiʔʔ,
443,tsoo,N,soot,tizne,tso”,chroʔ,tsoo”,
444,tsuh,Adj,"busy, narrow, reduced","ocupado, angosto, reducido",tsuhʔ,chrujʔ,tsuh!ʔ,
445,tsuh,N,"fruit, egg","fruta, huevo",tsuhʔ,chruj,tsubʔ,
446,tsuu,N,cricket,grillo,tsuʔ,chru,suuʔ,
447,tsúú,Adj,"ready, prepared","listo, preparado",tsti’,chrun,tstiti”,
448,tsúú,N,"tree, pole","lefa, árbol, palo",tsiʔ,chrun,tsiit,
449,tsiai,N,box,"caja, cajón",tsúl',chrun',tstifiʔ,
450,unáh,Vi,run,correr,unahʔ,unanj’,unáhʔ,
451,uni,Vi,"hear, understand","oír, entender",uniʔ,uniʔ,unoʔ,
452,uniʔ,Vi,fight,pelear,uniʔ”,unr+,unuʔ,
453,uno,Vt ,sow,sembrar,uni,unun”,uno”,
454,utaʔ,Vt,place on top,poner encima,utaʔʔ,uta',utaʔ”,
455,utaa,Vt,suck,chupar,uta,utan,utááʔ,
456,ufiʔ,Vt,"tear apart, cut to pieces, use up, consume","despedazar, gastar",utiʔʔʔ,utin”,utiʔ,
457,utsii,Vi,suckle,mamar,utsiʔ,utsi”,utsiiʔ,
458,utʃiʔ,Vi,arrive,llegar,"utiʔ""","uchi”""",utʃiʔ,
459,utsaa,Vi,vomit,vomitar,utsa!,uchran',utsááʔ,
460,utsuh,Vt,"put, place",poner,utsuh,"uchruj”""",utsuh”,
461,utsúh,Vt,sniff,olfatear,utsúhʔ,"uchrunj”""",utsúhʔ 2,
462,uʔaʔ,Num,five,cinco,uú,un'un”,uʔúʔ!,
463,yaa,N,tongue,lengua,ya”,yya,yaa””,
464,yabii,N,month,mes,awi',ahui”,yaβii”ʔ,
465,yaβii,N,moon,luna,awi',ahui,yaβiiʔ,
466,yah,Adv,now,ahora,yah™,yyaj° ʃ,yah'ʔ,
467,yah,N,ash,ceniza,yahʔ,yajʔ,yahʔ,
468,yah,N,flower,flor,yah'a,yajʔa,yah”,
469,"Yak""eh",,Oaxaca,Oaxaca,"Ak""ehʔ","Acuej""","Ya ik""ehʔ",
470,yana,N,bed,cama,naʔ,nnaʔ,yana’,
471,yatáiá,N,blackberry,zarzamora,ata,atan,yatáa,
472,yatáʔ,N,foam,espuma,ata2%,atan’“an,yataʔʔ,
473,yatiʔ,N,star,estrella,atiʔ!,atr,yatiʔ,
474,yatsih,N,"clothing, cloth, fabric","ropa, trapo, tela",atsih'¡,atsij'i,yatsih,
475,yatsuu,N,"powder, dust",polvo,tsu”,chru,yatsuuʔ ',yut’i M-ʃJ yutʃi M-ʃM yaka C-ʃM
476,yatsuʔ,N,gourd,jícara,"atsuʔ""u",achru'u,yatsuʔʔ,
477,yala,N,root,raíz,yaʔa',ya'a',yaaʔ,"yoʔo M-DT, M-Ja, M-ʃJ, M-ʃM"
478,vaʔaa,N,brush,"cepillo, escobilla",yaʔa’,ya’a°,yaʔaa”,
479,yaʔah,N,chili,chile,yaʔahʔ,ya’aj’,yaʔahʔ,
480,yaʔ4,N,"fire, light","fuego, luz",yaʔa’,yan’an',yaʔa’”,
481,yaʔi14,Adj,hot,caliente,ya‘ʔa°,yan’an,yaʔaa,
482,yaʔah,N,god,dios,yaʔaha,yan’anj‘an,yaʔáhʔʔ,
483,yaʔáh,N,musical instrument,instrumento musical,ya eahea,yan” anjʔan,yaʔáhʔ,
484,yaʔβee,N,"plaza, market","plaza, mercado",raʔweʔ,ra’ue’,yuʔβeeʔ 2,"yaʔβi M-Ay, M-Ja yaʔu M-Al, M-Yo nuyaʔhi M-Ja, M-ʃJ"
485,ya’nih,Adj,tender,tierno,ʔnihi,’niji,yaʔnih',
486,ya’nuh,N,fertilizer,abono,aʔnuh’,a’nuj,yaʔnuhʔyaʔluh’,
487,yi,Rel,where,donde,ya!,yan,yá”,
488,yia,Adj,"single, unmarried",soltero,ya,yan Co yáá” Co,NA,NA
489,waa,N,scar,cicatriz,yá,yan”,yaa’,
490,yaai,N,salt,sal,ya,yan,yaa’,
491,yaa,N,olote,olote,yáʔ,"yan""",yáa,
492,yah,N,paper,papel,yáh',"yanj""",yáhʔ,
493,yah,N,wax,cera,yahʔá,"yanj""an",yahʔ,
494,yaʔ,N,tooth,diente,"yáʔ""",yan',yáʔ,
495,yoh,N,stone,piedra,yoh',yéj,yihʔ,
496,yoo,Adj,light weight,ligero,yo,yo,yoo”,
497,yoo,Adv,quickly,rápido,yo”,yo,yoo”,
498,yoo,N,basket,tenate,yoʔ,yo,"yoo""",
499,yoo,N,cane,caña,yo”,yo,yoo”ʔ,
500,yoʔ,N,year,año,yoPo,yoo,yoʔ,
501,yol00,N,"earth, ground",tierra,yoʔo',yo’o',yoʔoo”,
502,yubaayubñee,Adj,"fierce, ferocious","bravo, feroz",weʔ,huue,yuβaa’,
503,yuñeyufi,Adj,hidden,escondido,wi,huui”,yuβe!,
504,yuβee,N,maguey,maguey,we,huue,yuñee”,yaβi M-ʃJ yau M-ʃM yifa C-ʃM
505,yuβee,N,mat,petate,we!,huue!,yuñeeʔ,yuñi M-ʃJ yiβa C-ʃM
506,yuβeh,N,rock,"roca, peña",weh'e,huueje,yuβeh”ʔ,yaβa C-ʃM
507,yumi,N,camote,camote,mi”,mmi,yume”ʔ,yaʔmi M-ʃJ naʔtmu M-ʃM paʔmi M-Ja
508,yumii,N,bridge,puente,mi”,mmi”,yumii”',
509,yumiʔ,N,soap,jabón,miʔi,mmi”1,yumiʔ,
510,yuu,Adj,sour,agrio,yu,yu,yuu!,
511,yuʔβeyuʔβi,Adj,"raw, uncooked",crudo,"2wi""",uiʔ 3,yuʔβe!,
512,yvurβeh,N,thread,hilo,ʔwehre,’uej’e,yuʔβehʔʔ,"yurβa M-At, M- Ja, M-ʃJ yuʔa M-ʃM"
513,yuʔβeʔ,N,"snow, ice","nieve, hielo",2we%e,"""uee",yuʔβeʔ,yuʔβa M-Ja
514,yutuh,N,hole,hoyo,yuruhu,yu’uju,yuʔuh”,
515,yúh2úh,Prn,I,yo,yúh',yunj”,2tih’,
516,yúú,N,palm,palma,ya’,yun’,yar,
517,yúú,N,"time, occasion",vez,yaʔ,yun’,ytiti’,
518,ʔ,Num,nine,nueve,,in,titʔ,
519,ʔ%maʔ,Vi,come,venir,naʔ,’na’ʔ,ʔnaʔʔ,
520,ʔngo,Num,one,uno,2ngo™,’ngo”,20°,
521,Onit,,corn,maíz,ʔni!,’ni',ʔnuuʔ,
522,ʔyah,Vt,"do, make, construct, cause","hacer, construir, causar",ʔyahʔ,yaj,ʔyah’,
523,2yo0,Adj,humid,húmedo,ʔyo,yo,ʔyoo”,
