"ID","IRR_TL","IMPF","PFV","IRR","Valence","Spanish","English","Morphemes","GlossEnglish","GlossSpanish","TONE.IMPF","TONE.PFV","TONE.IRR","NEG.IMPF","NEG.PFV","NEG.IRR1","NEG.IRR2","IMP","NEG.IMP","pMx","Source","Notes"
"V152","kuya'a","yá'á","ìkuyá'á","kuyá'á","intr","volverse amarillo/cafecito","turn dark yellow/coffee colored","ku-ya'a","VBLZ-brown","VBLZ-marrón","A.A","B.M.A.A","M.A.A",,,,,,,,,
"V153","ntikua'a","kuá'á","ìntikuá'á","ntikuá'á","intr","volverse rojo","turn red","nti-kua'a","ITER-red","ITER-rojo","A.A","B.M.A.A","M.A.A",,,,,,,,,
"V154","ntasi","ntásí","ìxìntasi","kuntasi","intr","estar cerrado","be closed",,,,"A.A","B.B.M.M","M.M.M",,,,,,,,,
"V155","soo","sóo","ìsoo","soo","intr","chiquear","to behave a like brat",,,,"AM","B.MM","MM",,,,,,,,,
"V156","kuntaa","ntáa","ìxìntàa","kuntàa","intr","ser (COP)","be (COP)",,,,"AM","B.B.BM","M.BM",,,,,,,,,
"V157","kantxaa","kántxaa","ìkantxaa","kantxaa","intr","ahogarse","drown, choke","ka-ntxaa","?-?","?-?","A.MM","B.M.MM","M.MM",,,,,,,,,
"V158","ya'a","yá'a","ìya'a","ya'a","intr","pasar","pass",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V159","ntixaa","ntíxàá","ìntixàá","ntixàá","intr","renovar","renew","nti-xaa","ITER-new","ITER-nuevo","A.BA","B.M.BA","M.BA",,,,,,,,,
"V160","txaso'o","txásò'o","ìtxasò'o","txasò'o",,"escuchar","listen","txa-so'o","?-ear","?-oreja","A.B.M","B.M.B.M","M.B.M",,,,,,,,,
"V161","ntuta'an","ntúta'an","ìntuta'an","ntuta'an",,"deber","should","ntu-ta'an","?-each.other?","?-entre.ellos?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V162","kutuntxe'e","xituntxe'é","ìxìtuntxe'é","kutuntxe'e","tr","ver","look at",,,,"M.M.M.A","B.B.M","M.M.M.M",,,,,,,,,
"V163","chintoo","chíntoo","ìchintoo","chintoo","tr","amontonar","put down (onto a surface beneath)","chi-ntoo","PUT-be","PONER-estar","A.MM","B.M.MM","M.MM",,,,,,,,,
"V164","chitivintxaa","chitivìntxaa","ìchitivintxaa","chitivintxaa","tr","recargar (cosa)","place/put against","chi-tivi-ntxaa","PUT-roll.up/wake.up?-side","PONER-enrollar?/amanecer?-lado","M.M.B.M","B.M.M.M.M","M.M.M.M",,,,,,,,,
"V165","koso","síso","ìxiso","koso","intr","cargar (telefono)","charge (phone)",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V166","vaxi","vàxi","ìkixi","kixi",,"venir","come",,,,"B.M","B.M.M","M.M",,,,,,,"*vaxi, *kixi","Josserand83:115, 67",
"V167","tanta'a","tánta'à","ìtanta'à","tanta'à",,"casar","marry","ta-nta'a?","RECP-hand?","RECP-mano?","A.M.B","B.M.M.B","M.M.B",,,,,,,,,
"V168","ka'an","ká'án","ìka'án","ka'án",,"pensar","think",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V169","sa'a ntxiva'a","sá'a ntxíva'à","ìsá'a ntxíva'à","sá'a ntxíva'a","tr","maltratar","mistreat (sb)","sa'a-ntxiva'a","DO-INTENS","HACER-INTENS","A.M A.M.B","B.A.M A.M.B","A.M A.M.M",,,,,,,,,
"V170","kanii","kánii","ìkanii","kanii","tr","golpear","hit",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V171","kontoo","kontòo","ìkòntòo","kòntòo","intr","quedarse","stay","ko-ntoo","VBLZ-be","VBLZ-estar","M.BM","B.B.BM","B.BM",,,,,,,,,
"V172","ntikintxee","ntíkíntxeé","ìntíkintxeé","ntíkintxeé",,"esforzarse","make an effort","ntiki-ntxee","look.for-?","buscar-?","A.A.MA","B.A.M.MA","A.M.MA","kòó ntíkíntxeé","kòó níntíkintxeè","untíkintxeè",,,,,,
"V173","kuxini","xínì","---","kuxinì","tr","saber hacer algo","know how to do",,,,"A.B",,"M.M.B","kòó xínì","-","-",,,,,,
"V174","tivi","tíví","ìtiví","tiví","ambi","enrollar","roll up",,,,"A.A","B.M.A","M.A","kòó tíví","kòó nítiví","utiví",,,,,,
"V175","kata","xíta","ìxita","kata",,"cantar","sing",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V176","ntxikoni'i","ntxíkóni'i","ìntxikóni'i","ntxikóni'i","tr","voltear (tortillas, huevos, etc.)","flip (tortillas, egg)","ntxiko-ni'i","throw?-get?","tirar?-recibir?","A.A.M.M","B.M.A.M.M","M.A.M.M",,,,,,,,,
"V177","chinuu","chínúu","ìchinúu","chinúu","tr","poner sobre algo","put on sth.","chi-nuu","PUT-go.down","PONER-bajar","A.AM","B.M.AM","M.AM",,,,,,,,,
"V178",,"yí'vì","ìxiyì'vì","kuyì'vì","intr","estar brilloso","be shiny",,,,"A.B","B.M.B.B","M.B.B",,,,,,,,,
"V179","sakua'a","sákua'a","ìsákua'a","sákua'a",,"estudiar","study","sa-kua'a","DO-much","HACER-mucho","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V180","kantakava","kántakava","ìkantakava","kantakava","intr","caerse (para personas)","fall down (of people)","kanta-kava","move-spin","mover-girar","A.M.M.M","B.M.M.M.M","M.M.M.M",,,,,,,,,
"V181","kanta","kántá","ìkantá","kantá","intr","moverse","move",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V182","xaa","xàà","ìxàà","xàà","intr","descomponer (de comida)","go bad (of food)",,,,"BB","B.BB","BB",,,,,,,,,
"V183","ntani'i","ntáni'i","ìntani'i","ntani'i","tr","encontrar","find","nta-ni'i","ITER-get","ITER-recibir","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V184","ntativi","ntátivi","ìntativi","ntativi","tr","buscar (y ya lo tienes)","look for (and you already have)","nta-tivi","ITER-roll.up?","ITER-enrollar?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V185","kukuiti","sákuití","ìsákuití","kukuití","tr","adornar","decorate","sa-kuiti","DO-?","HACER-?","A.M.A","B.A.M.A","M.M.A",,,,,,,,,
"V186","sakutxiya'a","sákutxíyá'á","ìsákutxíyá'á","sákutxíyá'á","tr","columpiar","push (sb) on the swing","sa-kutxiya'a","DO-swing","HACER-columpiar","A.M.A.A.A","B.A.M.A.A.A","A.M.A.A.A",,,,,,,,,
"V187","sakukunuo","sakukunuo","ìsakukunuo","sakukunuo","tr","mecer","rock, swing (sb)","sa-ku-kunuo","DO-be-?","HACER-VBLZ-?","M.M.M.M","B.M.M.M.M","M.M.M.M",,,,,,,,,
"V188","koto'va","kótò'va","ìkòtò'va","kotò'va",,"aprender","learn","ko-to'va","VBLZ-?","VBLZ-?","A.B.M","B.B.B.M","M.B.M",,,,,,,,,
"V189","ntoo","ntóo","ìntoo","ntoo",,"purificar, lavar, limpiar","purify, cleanse, clean",,,,"AM","B.MM","MM","kòó ntóo","kòó níntoo","untóo",,,,,,
"V190","ntaki'in","ntáki'in","ìntaki'in","ntaki'in",,"recoger","pick up","nta-ki'in","ITER-take","ITER-agarrar","A.M.M","B.M.M.M","M.M.M","kòó ntáki'in","kòó níntaki'in","untaki'ìn",,,,,,
"V191","ni'i","ní'i","ìni'i","ni'i",,"rascar","scratch",,,,"A.M","B.M.M","M.M","kòó ní'i","kòó ini'i","uni'i",,,,,,
"V192","kuka'nu","kuká'nu","ìxìká'nu","kuká'nu",,"perdonar","forgive","ku-ka'nu","VBLZ-big","VBLZ-grande","M.A.M","B.B.A.M","M.A.M","kòó kukà'nu","kòó níxìká'nu",,"ikuká'nu",,,,,
"V193","xaa","xáa","ìxáá","xáá",,"florecer","bloom",,,,"AM","B.AA","AA",,,,,,,,,
"V194","koko","xíkó","ìxikó","kokó",,"acarrear","carry, transport",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V195","tivi","tívi","ìtivi","tivi",,"picar","sting, bite",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V196","santxi'i","sántxi'i","ìsántxi'i","sántxi'i","tr","terminar","finish","sa-ntxi'i","DO-be.done","HACER-terminar","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V197","tase'e","tase'e","ìtase'e","tase'e","intr","esconder","be hidden","ta-se'e","?-?","?-?","M.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V198","kaa","káa","ìkaa","kaa","intr","bañar (en el baño de vapor)","take a bath (in the steam bath)",,,,"AM","B.MM","MM",,,,,,,,,
"V199","santoo","sántoo","ìsántoo","sántoo","intr","chapuniar, rozar, cortar hierba con la machete","swing the machete in the air, cut grass with the machete","sa-ntoo","DO-clean","HACER-limpiar","A.MM","B.A.MM","A.MM",,,,,,,,,
"V200","kontoo","ntóo","ìxìntoo","kontoo","intr","estar","there is",,,,"AM","B.B.MM","M.MM",,,,,,,,,
"V201","ntañuu","ntáñuu","ìntañuu","ntañuu",,"revolver","mix","nta-ñuu","ITER-?","ITER-?","A.MM","B.M.MM","M.MM",,,,,,,,,
"V202","ntaa","kuantaa","ìntaa","ntaa",,"subir","go up","ku(a)-ntaa","?-?","?-?","M.M","B.MM","MM",,,,,,,,,
"V203","xinu","xínu","ìxìnu","xìnu","tr","terminar (de una construcción)","finish (building)",,,,"A.M","B.B.M","B.M",,,,,,,,,
"V204","katxa","xátxá","ìxatxa","katxa",,"tirar","throw",,,,"A.A","B.M.M","M.M",,,,,,,,,
"V205","kuitxa","xítxà","ìxìtxà","kuìtxà","intr","tirar (liquido)","be spilled (liquid)",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V206","yakun","yákún","ìyakún","yakún",,"cepillar","brush",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V207","katei","kateì","ìkàtèì","kàtèì","tr","masajear, machucar","massage, smash","ka-tei","?-?","?-?","M.MB","B.B.BB","B.BB",,,,,,,,,
"V208","nañu","náñu","ìnañu","nañu",,"esponjar","fluff up, puff up",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V209","nuntxa'a","núntxa'a","ìnuntxa'a","nuntxa'a",,"rebajar","reduce","nu-ntxa'a","down-?","abajo-?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V210","ntiku'un ini","ntíku'un ini","ìntiku'un ini","ntiku'un ini",,"recordar","remember","nti-ku'un-ini","ITER-go-inside","ITER-ir-adentro","A.M.M M.M","B.M.M.M M.M","M.M.M M.M",,,,,,,,,
"V211","saya'a","sáya'a","ìsáya'a","ya'a","tr","pasar","pass","sa-ya'a","DO-pass","HACER-pasar","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V212","ku'ni","xú'ní","ìxu'ní","ku'ní",,"exprimir","squeeze",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V213","kaan","káán","ìkaan","kaan","tr","agujerear","make holes in",,,,"AA","B.MM","MM",,,,,,,,,
"V214","yata","yáta","ìyata","yata","tr","asar","roast, grill",,,,"A.M","B.M.M","M.M",,,,,,,,,"the same as the other 'asar', there doesn't seem to be a difference in meaning"
"V215","ka'ntxi","ká'ntxí","ìka'ntxi","ka'ntxi",,"reventar, tronar balazos","burst, blow up, shoot gun",,,,"A.A","B.M.M","M.M",,,,,,,,,
"V216","xuun","xúún","ìxùún","xùún",,"tallar","rub",,,,"AA","B.BA","BA",,,,,,,,,
"V217","tuun","túùn","ìtùùn","tùùn","tr","prender (luz, vela)","turn on (light, candle)",,,,"AB","B.BB","BB",,,,,,,,,
"V218","chikava'a","chíkàvà'a","ìchikàvà'a","chikàvà'a",,"guardar","put away, keep","chi-kaa-va'a","PUT-(invisible)-good","PONER-(invisible)-bueno","A.B.B.M","B.M.B.B.M","M.B.B.M","kòó chíkàvà'a","kòó níchikàvà'a",,"uchikàvà'a",,,,,
"V219","ntakaa","sántakàà","ìsántakàà","ntakàà",,"extender","spread out","sa-nta-kaa","DO-ITER-?","HACER-ITER-?","A.M.BB","B.A.M.BB","M.BB",,,,,,,,,
"V220","chikanii","chíkanii","ìchíkanii","chíkanii",,"parar, detener","stop","chi-kanii","PUT-hit","PONER-golpear","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V221","yivintxaa","yìvintxaa","ìyivintxaa","yivintxaa",,"lamer","lick","yivi-ntxaa","?-?","?-?","B.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V222","chikili","chíkìlí","ìchikìlí","chikìlí",,"cosquillar","tickle","chi-kili","PUT-?","PONER-?","A.B.A","B.M.B.A","M.B.A",,,,,,,,,
"V223","txa'ntxa","txá'ntxá","ìtxà'ntxà","txà'ntxà","intr","estar roto","be broken",,,,"A.A","B.B.B","B.B",,,,,,,,,
"V224","kuntasi","kuntasí","ìkùntasí","kùntasí","intr","tener miedo","be afraid?","ku-ntasi","VBLZ-be.closed?","VBLZ-estar.cerrado?","M.M.A","B.B.M.A","B.M.A",,,,,,,,,
"V225","kuntakaa","ntíkàà / ntákaa","ìxìntakàà","kuntakàà","intr","estar adentro de algo, tener edad, estirar","be inside of something, be old, stretch out","nti/a-kaa","ITER-?","ITER-?","A.BB A.MM","B.B.M.BB","M.M.BB",,,,,,,,,"AVB: be in a bounded space (garden vs. field)"
"V226","cho'o","chó'ò","ìchò'ò","chò'ò",,"cocer ( hervir comida)","cook",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V227","kuva'a","kúvà'a","ìkuvà'a","kuvà'a","intr","estar preparado, estar hecho","be made, be done","ku-va'a","VBLZ-good","VBLZ-bueno","A.B.M","B.M.B.M","M.B.M",,,,,,,,,
"V228","kee","kée","ìkèe","kèe","intr","echar","put",,,,"AM","B.BM","BM","kòó kuakée","kòó níkèe",,"ùkée",,,,,
"V229","kai","kaì","ìkàì","kàì",,"quemar","burn",,,,"MB","B.BB","BB","kòó kaì","kòó níkàì",,"ukài",,,,,
"V230","ka'a","ká'a","ìka'a","ka'a",,"escuchar ruido","hear a noise",,,,,,,,,,,,,,,
"V231","sakuachi","sákuachi","ìsákuachi","sákuachi","tr","despedazar","tear up, rip to pieces","sa-kuachi","DO-fault","HACER-culpa","A.M.M","B.A.M.M","A.M.M","kòó sakákuachi","kòó nísákuachi",,"usákuachi",,,,,
"V232","shita","shítá","ìshìtá","shìtá",,"jalar","pull",,,,"A.A","B.B.A","B.A","kòó shítá","kòó níshìtá",,"ushítá",,,,,
"V233","ntakaxi","ntákàxi","ìntakàxi","ntakàxi",,"escoger","choose","nta-kaxi","ITER-eat?","ITER-comer?","A.B.M","B.M.B.M","M.B.M",,,,,,,,,
"V234","txaa","txáa","ìtxaa","txaa",,"escribir","write",,,,"AM","B.MM","MM",,,,,,,,,
"V235","sana'a","sánà'à","ìsánà'à","sánà'à","tr","mostrar, enseñar","show, teach","sa-na'a","DO-thing?","HACER-cosa?","A.B.B","B.A.B.B","A.B.B",,,,,,,,,
"V236","ntuva'a","ntúvà'a","ìntùvà'a","ntuvà'a","ambi?","arreglar, reparar; componerse, recuperarse","fix; get better, get well","ntu-va'a","ITER-good","ITER-bueno","A.B.M","B.B.B.M","M.B.M",,,,,,,,,
"V237","saka","sákà","ìsàkà","sàkà","intr","equivocarse","be mistaken",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V238","chita'an","chítá'an","ìchìtá'an","chitá'an",,"comparar, conectar","compare, connect","chi-ta'an","PUT-each.other","PONER-entre.ellos","A.A.M","B.B.A.M","M.A.M",,,,,,,,,
"V239","ntakuni","ntákuni","ìntàkuni","ntakuni",,"reconocer","recognize","nta-kuni","ITER-see","ITER-ver","A.M.M","B.B.M.M","M.M.M",,,,,,,,,
"V240","sanuntxa'a","sánuntxa'a","ìsánuntxa'a","sánuntxa'a","tr","disminuir, rebajar","reduce","sa-nuntxa'a","DO-be.reduced","HACER-reducir","A.M.M.M","B.A.M.M.M","A.M.M.M",,,,,,,,,
"V241","kununu","xíkanu","ìxìkanu","kununu",,"pasear","go for a walk","ku-kanu","?-?","?-?","A.M.M","B.B.M.M","M.M.M",,,,,,,,,
"V242","kakintxaa","xakintxaa","ìxakintxaa","kakintxaa",,"encargar","order","xaki-ntxaa","PUT-?","PONER-?","M.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V243","ta'vi","tá'ví","ìtà'vì","tà'vì",,"quebrar","break, smash",,,,"A.A","B.B.B","B.B",,,,,,,,,
"V244","kavanuu","kávanúú","ìkavanúú","kavanúú","tr","enrollar, revolver, mezclar","put around, stir","kava-nuu","spin-go.down","girar-bajar","A.M.AA","B.M.M.AA","M.M.AA",,,,,,,,,
"V245","ntisaka","ntísaka","ìntisaka","ntisaka","intr","revolverse","turn oneself around","nti-saka","ITER-twist","ITER-torcer","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V246","saa","sáà","ìsàà","sàà",,"calentar","heat up",,,,"AB","B.BB","BB",,,,,,,,,
"V247","kuntaa","kuntàà ini","ìkuntàà ini","kuntàà ini",,"saber","know about sth.","ku-ntaa","VBLZ-?","VBLZ-?","M.BB","B.M.BB","M.BB",,,,,,,,,
"V248","ntxikokoo","ntxíkokòo","ìntxikokòo","ntxikokòo",,"regresar","go back, return","ntxiko-koo","calm.down?-stay?","calmarse?-quedarse?","A.M.BM","B.M.M.BM","M.M.BM",,,,,,,,,
"V249","kukuaan","kuaán","ìkukuaán","kukuaán","intr","estar amarillo","be yellow","ku-kuaan","VBLZ-yellow","VBLZ-amarillo","MA","B.M.MA","M.MA",,,,,,,,,
"V250","kuxiva'a","xùvà'a","ìkùxìvà'a","kùxìvà'a","intr","estar listo, estar mayor","be ready, be older","kuxi/u-va'a","come-good","venir-bueno","B.B.M","B.B.B.B.M","B.B.B.M",,,,,,,,,
"V251","kukuii","kuíí","ìkukuíí","kukuíí","intr","estar aguado","be watery, be liquid","ku-kuii","VBLZ-watery","VBLZ-aguado","AA","B.M.AA","M.AA",,,,,,,,,
"V252","kuita","kuítá","ìkuitá","kuitá","intr","estar cansado","be tired",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V253","kuntxee","kuntxeé","ìkuntxeé","kuntxeé",,"cansar","tire (sb)","ku-ntxee","VBLZ-?","VBLZ-?","M.MA","B.M.MA","M.MA",,,,,,,,,
"V254","shu'un","shú'ún","ìshù'ún","shù'ún",,"tejer","weave",,,,"A.A","B.B.A","B.A",,,,,,,,,
"V255","sana","sána","ìsana","sana","intr","comportarse loco/a, tener rabia (por perros)","behave crazy, have rabies (for dogs)",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V256","ntatava","ntátava","ìntatava","ntatava",,"dibujar","draw","nta-tava","ITER-remove?","ITER-quitar?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V257","chintxaa","chíntxaa","ìchintxaa","chintxaa",,"anotar","make a note","chi-ntxaa","PUT-?","PONER-?","A.MM","B.M.MM","M.MM",,,,,,,,,
"V258","xixin","xíxin","ìxixin","xixin",,"entumir, entumecer, colar","numb, strain",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V259","chiko'va","chíko'vá","ìchiko'va","chikò'va",,"medir","measure","chi-ko'va","PUT-?","PONER-?","A.M.A","B.M.M.M","M.B.M",,,,,,,,,
"V260","sakee","sákee","ìsákee","sákee",,"piscar la mazorca","harvest the corncob","sa-kee","DO-put?","HACER-poner?","A.MM","B.A.MM","A.MM",,,,,,,,,
"V261","sakoyo","sákoyó","ìsákoyó","sákoyó",,"desgranar","dekernel, cut the kernels off","sa-koyo","DO-empty","HACER-vaciar","A.M.A","B.A.M.A","A.M.A",,,,,,,,,
"V262","kuntxitxa","kúntxitxà","ìkuntxitxà","kuntxitxà",,"bautizo","baptize","ku-ntxitxa","VBLZ-melt?","VBLZ-fundirse?","A.M.B","B.M.M.B","M.M.B",,,,,,,,,
"V263","numi","númi","ìnumi","numi",,"abrazar","hug",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V264","ntantiki","ntántikí","ìntantiki","ntantiki",,"buscar","search for","nta-ntiki","ITER-look.for","ITER-buscar","A.M.A","B.M.M.M","M.M.M",,,,,,,,,
"V265","sante'i","sánte'i","ìsánte'i","sánte'i",,"engañar","trick, cheat","sa-nte'i","DO-feel.poor","HACER-sentirse.pobre","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V266","ntasaa","ntásàà","ìntasàà","ntasàà",,"recalentar","reheat","nta-saa","ITER-heat","ITER-calentar","A.BB","B.M.BB","M.BB",,,,,,,,,
"V267","kunte'i","nté'í","ìkunté'í","kunté'í",,"ser pobre","be/feel poor (not money-wise, personally)","ku-nte'i","VBLZ-poor","VBLZ-pobre","A.A","B.M.A.A","M.A.A",,,,,,,,,
"V268","tana","tána","ìtana","tana",,"quejarse (de dolor)","complain, moan (about pain)",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V269","txañu","txáñu","ìtxañu","txañu",,"estar arrastrado por el agua","be dragged by the water",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V270","txian","txían","ìtxìan","txìan",,"doler","hurt, ache",,,,"AM","B.BM","BM",,,,,,,"*tɨɨnʔ","Josserand83:59",
"V271","kukuiin","xikuììn","ìxikuììn","kukuììn",,"parar","stop","ku-kuiin","VBLZ-?","VBLZ-?","M.BB","B.M.BB","M.BB",,,,,,,,,
"V272","ntakasi","ntákasi","ìntakasi","ntakasi","tr","cerrar, tapar","close","nta-kasi","?-stop","?-parar","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V273","sakitxi","sákìtxì","ìsákìtxì","sákìtxì","tr","hervir","boil","sa-kitxi","DO-boil","HACER-hervir","A.B.B","B.A.B.B","A.B.B",,,,,,,,,
"V274","saketa","sáketa","ìsáketa","sáketa","tr","terminar, finalizar","finish","sa-keta","DO-put","HACER-poner","A.M.M","B.A.M.M","A.M.M",,,,,,,,,
"V275","ntiko'o","ntíko'o","ìntiko'o","ntiko'o","ambi","absorber","soak up","nti-ko'o","ITER-drink","ITER-tomar","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V276","kuxiva'a","xìvà'a","ìkixìvà'a","kixìvà'a","intr","estar listo, estar mayor","be ready, be older","kixi-va'a","come-good","venir-bueno","B.B.M","B.M.B.B.M","M.B.B.M",,,,,,,,,
"V277","ni'i","ní'ì","ìnì'ì","nì'ì","tr","conseguir","get",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V278","kuntxita","chíntxita","ìchintxita","kuntxita","tr","parar","stand up","chi-ntxita","PUT-?","PONER-?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V279","ntxiko","ntxíko","ìntxìko","ntxìko","intr","enfriarse, calmarse","cool down, calm down",,,,"A.M","B.B.M","B.M",,,,,,,,,
"V280","santxiko","sántxìko","ìsántxìko","sántxìko","tr","enfriar","cool","sa-ntxiko","DO-cool","HACER-enfriarse","A.B.M","B.A.B.M","A.B.M",,,,,,,,,
"V281","ntachikaa","ntáchikàà","ìntachikàà","ntachikàà","tr","reponer","put again","nta-chi-kaa","ITER-put(invisible)","ITER-poner(invisible)","A.M.BB","B.M.M.BB","M.M.BB",,,,,,,,,
"V282","nta'ava","ntá'ava","ìnta'ava","nta'ava",,"apagar","turn off","nta'a-va?","?-?","?-?","A.M.M","B.M.M.M","M.M.M",,,,,,,,,
"V283","kuna'a","ná'à","ìxìnà'à","kunà'à","intr","mirarse","look (like)",,,,"A.B","B.B.B.B","M.B.B",,,,,,,,,
"V284","ntikua'a","ntíkuà'a","ìntikuà'a","ntikuà'a",,"entregar","give, hand over","nti-kua'a","ITER-give","ITER-dar","A.B.M","B.M.B.M","M.B.M",,,,,,,,,
"V285","kunaa","kúnaa","ìkunaa","kunaa",,"oscurecer","get dark","ku-naa","VBLZ-dark","VBLZ-oscuro","A.MM","B.M.MM","M.MM",,,,,,,,,
"V286","ñani","ñání","ìñaní","ñaní",,"pelar","peel",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V287","ntaka'nu","ntákà'nù","ìntàkà'nù","ntàkà'nù",,"doblar","fold, turn","nta-ka'nu","ITER-?","ITER-?","A.B.B","B.B.B.B","B.B.B",,,,,,,,,
"V288","koso","sósò","ìsòsò","kòsò",,"regar (planta)","water (plant)",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V289","titi","títí","ìtití","tití",,"silbar (silbato)","whistle",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V290","ka'nu","xá'nù","ìxà'nù","kà'nù",,"quebrar (rama), doblar (papel)","break (branch), fold (paper)",,,,"A.B","B.B.B","B.B",,,,,,,,,
"V291","kutatxi","kutàtxí ini","ìkutàtxí ini","kutátxí ini",,"estar triste","be sad","ku-tatxi","VBLZ-sad","VBLZ-triste","M.B.A","B.M.B.A","M.A.A",,,,,,,,,
"V292","takue'e","takuè'è","ìtakuè'è","takue'è",,"lastimarse","hurt","ta-kue'e","REFL-illness","REFL-enfermedad","M.B.B","B.M.B.B","M.M.B",,,,,,,,,
"V293","kutatan","kutátán","ìkutátàn","kutátán",,"curar","cure, treat, heal","ku-tatan","VBLZ-medicine","VBLZ-medicina","M.A.A","B.M.A.B","M.A.A",,,,,,,,,
"V294","shatxa","shátxá","ìshatxá","shatxá",,"rasurar","shave",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V295","chichi","chíchí","ìchichí","chichí",,"mamar","suckle, (breast-)feed",,,,"A.A","B.M.A","M.A",,,,,,,,,
"V296","ntaxin","ntáxin","ìntaxin","ntaxin",,"mojarse","get wet",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V297","ñu'ma","ñú'má","ìñù'mà","ñù'mà","intr","ahumarse","be smoked",,,,"A.A","B.B.B","B.B",,,,,,,,,
"V298","kava","káva","ìkàvà","kàvà",,"girar","spin, turn",,,,"A.M","B.B.B","B.B",,,,,,,,,
"V299","kaan","káan","ìkàan","kàan",,"acostumbrarse","get used to",,,,"AM","B.BM","BM",,,,,,,,,
"V300","kaya","káya","ìkàyà","kàyà",,"multiplicarse (recolectarse)","increase, multiply",,,,"A.M","B.B.B","B.B",,,,,,,,,
"V301","kantxaa","kantxáá","ìkàntxáá","kàntxáá",,"resbalarse","slip","ka-ntxaa","VBLZ-side?","VBLZ-lado?","M.AA","B.B.AA","B.AA",,,,,,,,,
"V302","ka'vi","ká'vi","ìka'vi","ka'vi","tr","contar, leer","count, read",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V303","kata","kátá","ìkatá","katá",,"tener comezón","be itchy",,,,"B.M","B.M.A","M.A",,,,,,,,,
"V304","kuun","kúun","ìkuun","kuun",,"deslave (tierra)","wash out (landslide)",,,,"AM","B.MM","MM",,,,,,,,,
"V305","kisi","kísi","ìkisi","kisi",,"sacudir","shake",,,,"A.M","B.M.M","M.M",,,,,,,,,
"V306","kuya'vi","kuyà'vi","ìkùyà'vi","kùyà'vi",,"estar vendido","be sold","ku-ya'vi","VBLZ-expensive","VBLZ-caro","M.B.M","B.B.B.M","B.B.M",,,,,,,,,
"V307","kokonii","kókóníí","ìkokoníí","kokoníí",,"tragar entero","swallow (it) whole","koko-nii","carry?-?","cargar?-?","A.A.AA","B.M.M.AA","M.M.AA",,,,,,,,,
"V308","kokona'na","kókóná'ná","ìkokoná'ná","kokoná'ná",,"estar un tragadero","be a glutton","koko-na'na","carry?-?","cargar?-?","A.A.A.A","B.M.M.A.A","M.M.A.A",,,,,,,,,
"V309","kuchuun","kúchuun","ìkuchuun","kuchuun",,"poder (convencer)","achieve?","ku-chuun","VBLZ-work(n)","VBLZ-trabajo","A.MM","B.M.MM","M.MM",,,,,,,,,
"V310","sama","sáma","ìsàma","sàma",,"cambiar","change",,,,"B.B","B.B.M","B.M",,,,,,,,,
