"ID","Loan","Mixteco","MixtecoToneless","Spanish","English","WordClass","ClasePalabra","Pronoun","Morphemes","GlossEnglish","GlossSpanish","SemanticField","CampoSemántico","ScientificName","LToneChange","ToneMelody","pMX","Source","NotesForm","NotesCulture","NotesMeta"
0194,,"ìvì shiko","ivi shiko","cuarenta","forty","numeral","numeral",,"ìvì-shiko","two-twenty","dos-veinte","number","número",,"No","B.B M.M",,,"Maybe literally 'two twenties', if xíkó is another word for twenty? (JF).",,
0195,,"ùnì shiko","uni shiko","sesenta","sixty","numeral","numeral",,"ùnì-shiko","three-twenty","tres-veinte","number","número",,"No","B.B M.M",,,"Maybe literally 'three twenties', if xíkó is another word for twenty? (JF).",,
0196,,"kòmì shiko","komi shiko","ochenta","eighty","numeral","numeral",,"kòmì-shiko","four-twenty","cuatro-veinte","number","número",,"No","B.B M.M",,,"Maybe literally 'four twenties', if xíkó is another word for twenty? (JF).",,
0197,,"kòmì xiéntó","komi xento","cuatrocientos","four hundred","numeral","numeral",,"kòmì-xiéntó","four-hundred","cuatro-cien","number","número",,"No","B.B A.A",,,,,
0198,,"ùnà míìl","una mil","ocho mil","eight thousand","numeral","numeral",,"ùnà-míìl","eight-thousand","ocho-mil","number","número",,"No","B.B A",,,"The high tone on 'míl' sounds like it's falling; maybe monomoraic high words sound like they're falling at the end? Alternatively, it could be a M.B long word, but it doesn't sound long (JF).",,
0199,,"nta'à","nta'a","mano, brazo","hand, arm","noun","sustantivo",,,,,"body","cuerpo",,"Yes","M.B",,,"Same as word for 'hand' (JF). Carmen says there IS a difference between <nt> and <nd>.",,
0200,,"sàtà","sata","espalda","back","noun","sustantivo",,,,,"body","cuerpo",,,"B.B",,,,,
0201,,"lo'lo","lo'lo","ojo","eye","noun","sustantivo",,,,,"body","cuerpo",,,"B.A",,,,,
0202,,"sò'o","so'o","oreja","ear","noun","sustantivo",,,,,"body","cuerpo",,,"B.M","*loʔo","Josserand83:129",,,
0203,,"yi'ì","yi'i","boca","mouth","noun","sustantivo",,,,,"body","cuerpo",,,"M.B","*yuʔuʔ","Josserand83:176",,,
0204,,"xìtxì","xitxi","nariz","nose","noun","sustantivo",,,,,"body","cuerpo",,"changes when followed by possessor, regardless of the tone it starts with","B.B","*siti̠ʔ","Josserand83:8",,,
0205,,"ishí shìnì","ishi shini","cabello, pelo","hair (on the head)","noun","sustantivo",,"ishí-shìnì","hair-head","pelo-cabeza","body","cuerpo",,"Yes; ML in isolation","M.A B.B",,,,,
0206,,"nìì","nii","sangre","blood","noun","sustantivo",,,,,"body","cuerpo",,"Yes; -1s; ?","BB","*nɨyɨ̨ʔ","Josserand83:39","Homophonous with 'salt' (JF).",,
0207,,"ko'nto","ko'nto","hueso","bone","noun","sustantivo",,,,,"body","cuerpo",,,"M.M",,,,,
0208,,"ntxìka","ntxika","pecho","chest","noun","sustantivo",,,,,"body","cuerpo",,,"B.M",,,"Segmentally homophonous with 'wall' (although maybe tone is different?) (JF).",,
0209,,"niì","nii","piel","skin","noun","sustantivo",,,,,"body","cuerpo",,"Yes; -1s; ?","MB",,,"Minimal pair with nìì 'blood'",,
0210,,"shanti","shanti","ombligo","navel","noun","sustantivo",,,,,"body","cuerpo",,,"M.M","*leⁿdu","Josserand83:149",,,
0211,,"sùkùn","sukun","cuello, garganta","neck, throat","noun","sustantivo",,,,,"body","cuerpo",,"Yes; -1s; ?","B.B","*suku̠ʔ","Josserand83:66","Means 'front of neck' (JF).",,
0212,,"nùù","nuu","cara","face","noun","sustantivo",,,,,"body","cuerpo",,"Yes; -1s; before LL","BB",,,,,
0213,,"xa'à","xa'a","pie","foot","noun","sustantivo",,,,,"body","cuerpo",,"Yes; -1s; ?","M.B","*xeʔe","Josserand83:119",,,
0214,,"sì'in","si'in","pierna","leg","noun","sustantivo",,,,,"body","cuerpo",,,"B.M",,,,,
0215,,"yáà","yaa","lengua (de cuerpo)","tongue","noun","sustantivo",,,,,"body","cuerpo",,"Yes; -1s","AB",,,,,
0216,,"nù'un","nu'un","diente","tooth","noun","sustantivo",,,,,"body","cuerpo",,,"B.M","*noʔo","Josserand83:27",,,
0217,,"shìtàxá'á","shitaxa'a","hígado","liver","noun","sustantivo",,"shìtà-xá'á","tortilla-nixtamal?","tortilla-nixtamal?","body","cuerpo",,,"B.B A.A",,,"nixtamal- cuando se lava el maíx para hacer pozole y tortillas",,
0218,,"shìnì ntá'à","shini nta'a","dedo","finger","noun","sustantivo",,"shìnì-ntá'à","head-hand","cabeza-mano","body","cuerpo",,"Yes; H tone associates rightward with first mora of of nta'à  'hand' ML","B.B A.B",,,"Literally 'head of the arm' (JF).",,
0219,,"txìxin","txixin","estomago","belly","noun","sustantivo",,,,,"body","cuerpo",,,"B.M",,,,,
0220,,"áñumà","añuma","corazón (su ser)","heart, being","noun","sustantivo",,,,,"body","cuerpo",,,"A.M.B",,,,,
0221,,"kòntò","konto","rodilla","knee","noun","sustantivo",,,,,"body","cuerpo",,,"B.B",,,,,
0222,,"kòntò ntá'à","konto nta'a","codo","elbow","noun","sustantivo",,"kòntò-ntá'à","knee-arm","rodillo-brazo","body","cuerpo",,"Yes; H tone associates rightward to first mora of nta'à 'hand'","B.B A.B",,,"Literally 'knee of the arm' (JF).",,
0223,,"kùñu ká'à","kuñu ka'a","sentaderas (pompis)","butt (cheek)","noun","sustantivo",,"kùñu-ká'à","meat-rear/hip","carne-pompis","body","cuerpo",,"?","B.M A.B",,,"Maybe the kuñú part is related to the word for flesh/meat? (JF).",,
0224,,"kìì","kii","nombre","name","noun","sustantivo",,,,,"society > people","sociedad > gente",,"Yes; -1s; ?","BB",,,,,
0225,,"ntxìxìn","ntxixin","ala","wing","noun","sustantivo",,,,,"animal | body","animal | cuerpo",,"Yes; with L, not with H or M; seems to change when followed by animal name regardless of the tone that animal name starts with","B.B","*ⁿdixi̠","Josserand83:167",,,
0226,,"nto'ò","nto'o","cola","tail","noun","sustantivo",,,,,"animal | body","animal | cuerpo",,,"M.B","*luʔwe̠ʔ","Josserand83:6",,,
0227,,"txikòtò","txikoto","ropa","clothes","noun","sustantivo",,,,,"clothes","ropa",,,"M.B.B",,,,,
0228,,"íshinì","ishini","sombrero","hat","noun","sustantivo",,,,,"clothes","ropa",,,"A.M.B",,,,,
0229,,"nánà","nana","madre","mother","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"A.B",,,,,
0230,,"tátà","tata","padre","father","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"A.B",,,,,
0231,,"ñani","ñani","hermano (de hombre)","brother (of male)","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"M.M","*yeni","Josserand83:25",,,
0232,,"kò'va","ko'va","hermana (de hombre), hermano (de mujer)","cross-gender sibling","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"B.M",,,,,
0233,,"kì'vì","ki'vi","hermana (de mujer)","sister (of female)","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"B.B",,,,,
0234,,"velá","vela","abuela","grandmother","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"M.A",,,,,
0235,,"veló","velo","abuelo","grandfather","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"M.A",,,,,
0236,,"se'e","se'e","hijo, hija","son, daughter","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"M.M","*saʔyi","Josserand83:110",,,
0237,,"shito","shito","tío","uncle","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"M.M",,,,,
0238,,"shishi","shishi","tía","aunt","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"M.M",,,,,
0239,,"se'e ñání","se'e ñani","nieto, nieta","grandson, granddaughter","noun","sustantivo",,"se'e-ñání","child-brother(m)","niño/a-hermano(m)","society > kinship","sociedad > parentesco",,,"M.M A.A",,,,,
0240,,"kì'vì kuàchí","ki'vi kuachi","prima (de mujer)","female cousin (of woman)","noun","sustantivo",,"kì'vì-kuàchí","sister(f)-?","hermana(f)-?","society > kinship","sociedad > parentesco",,"No","B.B. B.A",,,,,
0241,,"kò'va kiín","ko'va kiin","primo (de mujer)","male cousin (of woman)","noun","sustantivo",,"kò'va-kiín","brother(f)-?","hermano(f)-?","society > kinship","sociedad > parentesco",,,"B.M M.A",,,,,
0242,,"kò'va kuàchí","ko'va kuachi","prima (de hombre)","female cousin (of man)","noun","sustantivo",,"kò'va-kuàchí","brother(f)-?","hermano(f)-?","society > kinship","sociedad > parentesco",,,"B.M. B.A",,,,,
0243,,"ñani kuàchí","ñani kuachi","primo (de hombre)","male cousin (of man)","noun","sustantivo",,"ñani-kuàchí","brother(m)-?","hermano(m)-?","society > kinship","sociedad > parentesco",,,"B.M M.A",,,,,
0244,,"kì'vì kiín","ki'vi kiin","media hermana (de mujer)","half-sister (of woman)","noun","sustantivo",,"kì'vì-kiín","sister(f)-?","hermana(f)-?","society > kinship","sociedad > parentesco",,"No","B.B MA",,,"only as an answer to a question",,
0245,,"ñani kiín","ñani kiin","medio hermano (de hombre)","halfbrother (of man)","noun","sustantivo",,"ñani-kiín","brother(m)-?","hermano(m)-?","society > kinship","sociedad > parentesco",,,"M.M MA",,,,,
0246,"L","kùmpáà","kumpaa","compadre","co-father","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"B.AB",,,,,
0247,"L","kúmárí","kumari","comadre","co-mother","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"A.A.A",,,,,
0248,,"ntàà","ntaa","(está) parejo, plano","flat","adjective","adjetivo",,,,,,,,"?","BB",,,,,
0249,,"ntaki","ntaki","fuerte","strong","adjective","adjetivo",,,,,,,,,"M.M",,,,,
0250,,"àsì","asi","sabroso","tasty","adjective","adjetivo",,,,,"taste","sabor",,"?","B.B","*asɨ̱ʔ","Josserand83:130",,,
0251,,"vèe","vee","pesado","heavy","adjective","adjetivo",,,,,,,,,"BM","*weyi","Josserand83:187",,,
0252,,"ntoo","ntoo","limpio","clean","adjective","adjetivo",,,,,,,,,"MM",,,,,
0253,,"txìyàkuà","txiyakua","sucio","dirty","adjective","adjetivo",,,,,,,,"?","B.B.B",,,"txi- could be CL.anim or it could be a different adjectival prefix",,
0254,,"kuíká","kuika","rico (de dinero)","rich","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0255,,"ìchí","ichi","seco","dry","adjective","adjetivo",,,,,,,,,"B.A",,,,,
0256,,"vishá","visha","mojado","wet","adjective","adjetivo",,,,,,,,,"M.A",,,,,
0257,,"yí'í","yi'i","crudo","raw","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0258,,"vitá","vita","blando","soft","adjective","adjetivo",,,,,,,,,"M.A",,,,,
0259,,"txé'é","txe'e","duro","hard","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0260,,"xàá","xaa","nuevo","new","adjective","adjetivo",,,,,,,,,"B.A",,,,,
0261,,"yatá","yata","viejo (de cosa)","old, used (of thing)","adjective","adjetivo",,,,,,,,,"M.A",,,,"This word can not be used for people who are still living, but it can be used for deceased ancestors.",
0262,,"shììn","shiin","filoso","sharp","adjective","adjetivo",,,,,,,,"?","B.B",,,,,
0263,,"ntaí","ntai","rasposo","rough","adjective","adjetivo",,,,,,,,,"M.A",,,,,
0264,,"txìkàguà","txikagua","chueco","crooked","adjective","adjetivo",,,,,,,,"?","B.B.B","*yakʷeʔ","Josserand83:73","(tx)ikawa","Can't be used to describe people's limbs",
0265,,"kúshí","kushi","flojo, floja","lazy","adjective","adjetivo",,,,,,,,,"A.A","*suxḛʔ","Josserand83:17",,,
0266,,"kini","kini","feo","ugly","adjective","adjetivo",,,,,,,,,"M.M","*kini","Josserand83:70",,,
0267,,"núchí","nuchi","bonito","pretty","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0268,,"yatxi","yatxi","cerca, cercano","near, close","adjective","adjetivo",,,,,,,,,"M.M","*yeti̱","Josserand83:10",,"Can refer to physical space or metaphorical interpersonal closeness (e.g. being close friends)",
0269,,"xíká","xika","lejos, lejano","far","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0270,,"txìrònà","txirona","redondo","round","adjective","adjetivo",,,,,,,,"?","B.B.B",,,,,
0271,,"nìnù","ninu","abajo","below","?","?",,,,,,,,"?","B.B","*nino","Josserand83:82",,,
0272,,"nìnu","ninu","arriba","above","?","?",,,,,,,,,"B.M",,,,,
0273,,"kueé","kuee","despacio","slowly","adverb","adverbio",,,,,,,,,"MA","*kʷeye","Josserand83:163",,,
0274,,"kama","kama","rápido","quickly","adverb","adverbio",,,,,,,,,"M.M",,,,,
0275,,"na'a","na'a","temprano","early","adverb","adverbio",,,,,"time","tiempo",,,"M.M","*neʔe","Josserand83:87",,,
0276,,"chè'è","che'e","basura","trash","noun","sustantivo",,,,,"society","sociedad",,,"B.B",,,,,
0277,,"shìkùn","shikun","huipil","woven blouse/dress","noun","sustantivo",,,,,"clothes","ropa",,,"B.B","*siko̱","Josserand83:48",,,
0278,,"shá'án","sha'an","gavilán","hawk","noun","sustantivo",,,,,"animal","animal",,,"A.A",,,,,
0279,,"chítí","chiti","gato","cat","noun","sustantivo",,,,,"animal","animal",,,"A.A",,,,,
0280,,"xá'àn","xa'an","olor","smell","noun","sustantivo",,,,,"senses","sentido",,,"A.B",,,,,
0281,,"txìsháshá","txishasha","orina","urine","noun","sustantivo",,,,,"body","cuerpo",,,"B.A.A",,,,,
0282,,"ntxìká","ntxika","pared","wall","noun","sustantivo",,,,,"house","casa",,,"B.M",,,"homophonous with 'pecho' ",,
0283,,"takà","taka","rastrojo (general)","cleared field","noun","sustantivo",,,,,"agriculture","agricultura",,,"M.B",,,"general, see 595 for milpa specifically",,
0284,,"yikùn","yikun","surco","planting row","noun","sustantivo",,,,,"agriculture","agricultura",,,"M.B","*yuku̱","Josserand83:180",,,
0285,,"shìchi","shichi","zanja","ditch","noun","sustantivo",,,,,"agriculture","agricultura",,,"B.M",,,,,
0286,,"yokò","yoko","espiga","(maize) spike","noun","sustantivo",,,,,"corn","maíz",,,"M.B","*yokoʔ","Josserand83:98",,,
0287,,"sito'o","sito'o","dueño","owner, boss","noun","sustantivo",,,,,"society > people","sociedad > gente",,,"M.M.M","*xi toʔo","Josserand83:63",,,
0288,,"kuè'è","kue'e","enfermedad","illness","noun","sustantivo",,,,,"health","salud",,,"M.M","*kʷeʔyi","Josserand83:161",,,
0289,,"sìtì","siti","sacerdote","priest ","noun","sustantivo",,,,,"society > people","sociedad > gente",,,"B.B","*sutu","Josserand83:182",,,
0290,,"ñà txitxìin","ña txitxiin","pegamento","glue ","noun","sustantivo",,"ñà-txitxìin","THING-stick","COSA-pegar","tool","herramienta",,,"B.M.BM",,,,,
0292,,"yavì","yavi","agujero","hole ","noun","sustantivo",,,,,,,,,"M.B","*yawi","Josserand83:135",,,
0293,,"koo yií","koo yii","arco iris","rainbow ","noun","sustantivo",,"koo-yií","snake-?","culebra-?","cosmology","cosmología",,,"MM MB","*koo yeʔⁿdiʔ","Josserand83:146","lit.: snake + (second part doesn't exist on its own)",,
0294,,"sava","sava","mitad","half ","?","?",,,,,"measure","medida",,,"M.M","*sawa","Josserand83:92",,,
0295,,"iin nta'à","iin nta'a","cuarta de mano","handspan ","noun","sustantivo",,"iin-nta'à","one-hand","uno-mano","measure","medida",,,"MM M.B",,,"lit.: one hand",,
0296,,"yiì","yii","marido, esposo","husband","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,"Yes; -1s; ?","MB","*yɨɨʔ","Josserand83:40",,,
0297,,"àsí'í","asi'i","esposa","wife","noun","sustantivo",,,,,"society > kinship","sociedad > parentesco",,,"B.A.A",,,,,
0298,,"chíìn","chiin","uña","fingernail","noun","sustantivo",,,,,"body","cuerpo",,"Yes; -1s","AB","*tiyi̱ʔ","Josserand83:107",,,
0299,,"xitxi","xitxi","tripas","tripe","noun","sustantivo",,,,,"body","cuerpo",,,"M.M","*xɨtɨ","Josserand83:122",,,
0300,,"shìkuà","shikua","ceja","eyebrow","noun","sustantivo",,,,,"body","cuerpo",,,"B.B","*sɨkwaʔ","Josserand83:75",,,
0301,,"tùchi","tuchi","tendón","tendon ","noun","sustantivo",,,,,"body","cuerpo",,,"M.M","*tuti","Josserand83:60",,,
0302,,"shè'lè","she'le","sobaco","armpit","noun","sustantivo",,,,,"body","cuerpo",,,"B.B","*leʔyiʔ","Josserand83:97",,,
0303,,"xíní túnì","xini tuni","sabio/a","wise person","noun","sustantivo",,"xíní-túnì","IMPF.know-?","IMPF.saber-?","society > people","sociedad > gente",,,"B M.M A.B",,,"lit.: a man who knows how to do things",,
0304,,"ntxiyá'á","ntxiya'a","zancudo","mosquito ","noun","sustantivo",,"ntxi-yá'á","ANIM-?","ANIM-?","animal","animal",,,"M.A.A","*tɨ kʷeyɨ̃ʔ","Josserand83:56",,,
0305,,"ntxi'ví","ntxi'vi","liso","smooth ","adjective","adjetivo",,,,,,,,,"M.A","*lɨʔwɨʔ","Josserand83:152",,,
0306,,"xàtùn","xatun","baúl, cajón","trunk, box","noun","sustantivo",,,,,"container","envase",,,"B.B","*xetu̱ʔ","Josserand83:55",,,
0307,,"mí'la","mi'la","lagartija","lizard ","noun","sustantivo",,,,,"animal","animal",,,"A.M",,,,,
0308,,"leso","leso","conejo","rabbit ","noun","sustantivo",,,,,"animal","animal",,,"M.M",,,,,
0309,,"tàsì","tasi","águila","eagle","noun","sustantivo",,,,,"animal","animal",,,"B.B",,,"There appear to be two forms, one with the (potentially) animal prefix(?) txi-, the other one without it. Note that the final syllable involves tone changes with/without txi-. (YC)",,
0310,,"yìì káxí","yii kaxi","pedernal","flint ","noun","sustantivo",,"yìì-káxí","stone-?","piedra-?","fire","lumbre",,"No; does not occur before H tone","BB A.A",,,"lit.: piedra duro",,
0311,"L","chángó","chango","chango, mono","monkey ","noun","sustantivo",,,,,"animal","animal",,,,,,,,
0312,,"ntovà","ntova","flecha","arrow ","noun","sustantivo",,,,,"tool","herramienta",,,"M.B",,,,,
0313,,"ntatxì","ntatxi","sombra","shadow ","noun","sustantivo",,,,,"weather","clima",,,"M.B",,,,,
0314,,"chìlòló","chilolo","renacuajo","tadpole","noun","sustantivo",,,,,"animal","animal",,,"B.B.A",,,,,
0315,,"txokó kuá'á","txoko kua'a","arriera","leafcutter ant ","noun","sustantivo",,"txokó-kuá'á","ant-red","hormiga-roja","animal","animal",,,"M.A A.A",,,,,
0316,,"shìntòkò","shintoko","chicatana","queen leafcutter ant ","noun","sustantivo",,,,,"animal","animal",,,"M.A M.A.A",,,,,
0317,,"mìnuxàtì","minuxati","epazote","goosefoot ","noun","sustantivo",,"mìnu-xàtì","edible.herb-spicy","hierba.comestible-picoso","plant > herb","planta > hierba",,,"B.M B.B",,,,,
0318,,"yii","yii","tejón","coati ","noun","sustantivo",,,,,"animal","animal",,,"MM","*yɨyɨ","Josserand83:45",,,
0319,,"txìnì'ín ","txini'in","zorrillo","skunk ","noun","sustantivo",,,,,"animal","animal",,,"B.B.A",,,,,
0320,,"chéle","chele","gallo","rooster","noun","sustantivo",,,,,"animal","animal",,,"A.M",,,"First syll sounds like having a AM contour (YC)",,
0321,,"kóchí","kochi","marrano, cerdo","pig ","noun","sustantivo",,,,,"animal","animal",,,"A.A",,,,,
0322,,"kuéì","kuei","caballo","horse ","noun","sustantivo",,,,,"animal","animal",,,"AB",,,"The final [i] sounds long to me. (YC)",,
0323,,"yíká","yika","delicado","fussy ","adjective","adjetivo",,,,,,,,,"A.A",,,,,
0324,,"shíñù","shiñu","brillante","bright, glossy","adjective","adjetivo",,,,,,,,"?","A.B",,,,,
0325,,"txìkín","txikin","nuez","nut, pecan ","noun","sustantivo",,,,,"food | plant","comida | planta",,,"B.A",,,,,
0326,,"tùyíxán","tuyixan","ocote","pine torch ","noun","sustantivo",,"tù-yíxán","TREE-?","ARB-?","plant > tree","planta > árbol",,,"B.A.A",,,,,
0327,,"ntá'ví","nta'vi","pobre, sin valor (de dinero)","poor, without value (of money)","adjective","adjetivo",,,,,,,,,"A.A","*ⁿdaʔwi","Josserand83:137",,,
0328,,"ntxé'é ntxaa","ntxe'e ntxaa","mirar de soslayo con desconfianza","to look at somebody askance","phrase","frase",,"ntxé'é-ntxaa","see-side","ver-lado",,,,,"A.A MM",,,,,
0329,,"koto ini","koto ini","mirar de soslayo con envidia","to look at somebody askance enviously","verb?","verbo?",,,,,,,,,"M.M M.M",,,,,
0330,,"ì'vì ini","i'vi ini","envidioso","envious","adjective","adjetivo",,"ì'vì-ini","envy?-inside","envidia?-adentro",,,,,"B.B M.M",,,,,
0331,,"yiki","yiki","masa de maíz bien molido con chile y hoja de aguacate para barbacoa","finely ground corn meal","noun","sustantivo",,,,,"food | corn","comida | maíz",,,"M.M",,,,,
0332,,"taxa","taxa","truenos","thunder","noun","sustantivo",,,,,"weather","clima",,,"M.M",,,,,
0333,,"kuì'i","kui'i","fruta","fruit","noun","sustantivo",,,,,"food","comida",,,"B.M",,,,,
0334,,"ñà'a","ña'a","cosa","thing","noun","sustantivo",,,,,,,,,"B.M",,,,,
0335,,"níí","nii","granizo","hail","noun","sustantivo",,,,,"weather","clima",,,"AA",,,,,
0336,,"xìna'á","xina'a","hace mucho tiempo","a long time ago","adverb","adverbio",,,,,"time","tiempo",,,"B.M.A",,,,,
0337,,"ntxìvà'a","ntxiva'a","bastante, mucho","a lot","adverb","adverbio",,,,,"quantity","quantidad",,,"B.B.M",,,"May include và'a 'good' (JF).",,
0338,,"kòó","koo","no, ningún","not, none","negation","negación",,,,,"quantity","quantidad",,,"A.B",,,,,
0339,,"yó'o","yo'o","aquí","here","?","?",,,,,"space","espacio",,,"A.B",,,,,
0340,,"taa","taa","y, cuando","and, when","conjunction","conjunción",,,,,,,,,"AA",,,,,
0341,,"sími","simi","pajaro mañanero","type of bird","noun","sustantivo",,,,,"animal > bird","animal > pájaro",,,,,,,,
0342,,"ká'a","ka'a","ruido","noise","?","?",,,,,,,,,"M.B",,,,,
0343,,"ini","ini","adentro","inside","?","?",,,,,"space","espacio",,,"M.M",,,,,
0344,,"àsìvà","asiva","mucho","a lot","adverb","adverbio",,,,,"quantity","quantidad",,"?","B.B.B",,,,,
0345,,"shíli","shili","cenzontle?","mockingbird?","noun","sustantivo",,,,,"animal > bird","animal > pájaro",,,,,,,,
0346,,"tú ita kuìtì","tu ita kuiti","trompeta de ángel, floripondio","angel's trumpet","noun","sustantivo",,"tú-ita-kuìtì","TREE-flower-esophagus","ARB-flor-esófago","plant > tree","planta > árbol","Brugmansia",,"A M.M B.B",,,,"This tree is dangerously hallucinogenic and is used by shamans and brujos (JF).",
0347,,"kuìtì","kuiti","esófago","esophagus","noun","sustantivo",,,,,"body","cuerpo",,,"B.B",,,,,
0348,,"tútàí","tutai","jarilla","creosote bush","noun","sustantivo",,"tú-tàí","TREE-?","ARB-?","plant > tree","planta > árbol","larrea tridentata",,"A.BA",,,,"This tree has small leaves and small white flowers. It doesn't grow very tall. It's used to make brooms. (JF).",
0349,,"tú ñùùn","tu ñuun","palmera (para hacer tenates)","palm tree","noun","sustantivo",,"tú-ñùùn","TREE-palm","ARB-palma","plant > tree","planta > árbol","Sabal mexicana",,"A.BB",,,,"This tree is used to weave baskets (JF). Tenates (tortilla baskets); looks like chamaerops humilis, but that grows in mediterranean. ",
0350,,"tùníí","tunii","elite","alder","noun","sustantivo",,"tù-níí","TREE-hail?","ARB-granizo?","plant > tree","planta > árbol","Alnus acuminata?",,"B.AA",,,"branches have something that looks like white ash on the ends--so 'níí' might be related to granizo","The branches are used in vapor steam baths after a woman gives birth. A pit is filled with hot rocks, which are then splashed with water; people whisk the woman who has given birth with the branches. The tree is large. The branches can be cut and used to make brooms. ",
0351,,"tù ntxè'é","tu ntxe'e","duraznal","peach tree","noun","sustantivo",,"tù-ntxè'é","TREE-peach","ARB-durazno","plant > tree","planta > árbol",,,"B.B.A",,,,,
0352,,"tù ntì'í","tu nti'i","mezquite","mesquite","noun","sustantivo",,"tù-ntì'í","TREE-full.bodied?","ARB-llenito","plant > tree","planta > árbol","Prosopis",,"B.B.A",,,,,
0353,,"tù ntxè'è latùùn","tu ntxe'e latuun","àrbol de capulín","(black) cherry tree","noun","sustantivo",,"tù-ntxè'è-latùùn","TREE-black.cherry","ARB-capulín","plant > tree","planta > árbol","Prunus serotina",,"B.B.B M.BB",,,,"The fruits of this tree are edible and shaped like cherries, except more round than heart-shaped (JF).",
0354,,"ntxè'è latùùn","ntxe'e latuun","fruta de àrbol de capulín","(black) cherry","noun","sustantivo",,"ntxè'è-la-tùùn","peach-?-black","durazno-?-negro","plant > fruit | food","planta > fruta | comida",,,"B.B M.BB",,,,"These fruits are edible and resemble dark, round cherries (JF).",
0355,,"ntxè'è","ntxe'e","durazno","peach","noun","sustantivo",,,,,"plant > fruit | food","planta > fruta | comida",,"Maybe sometimes (overall no in class elicitation but maybe some examples in notebook)","B.B",,,,,
0356,,"yé'é","ye'e","puerta","door","noun","sustantivo",,,,,"house","casa",,,"A.A.",,,,,
0357,,"inkà","inka","otro","other","?","?",,,,,,,,"?","M.B",,,"May have slightlylonger initial syllable",,
0358,,"ikán","ikan","ahí, allá","there","demonstrative","demonstrativo",,"i-kán","?-DEM","i-kán","space","espacio",,,"M.A",,,,,
0359,,"kuè'è nìì","kue'e nii","disentería","dysentery","phrase","frase",,"kuè'è-nìì","sickness-blood","enfermedad-sangre","health","salud",,"No; maybe not at this boundary type","M.M",,,,"""más antiguo""",
0360,,"kuè'è (ñà) núu txìxin","kue'e ña nuu txixin","diarrea","diarrhoea","phrase","frase",,"kuè'è-(ñà)-núu-txìxin","sickness-REL-drop-belly","enfermedad-REL-bajar-panza","health","salud",,,"B.B B AM B.M",,,"nuù is a verb (bajar)",,
0361,,"kuè'è (ñà) ntíxan","kue'e ña ntixan","vómito","vomit","phrase","frase",,"kuè'è-(ñà)-ntíxan","sickness-REL-vomit","enfermedad-REL-vómito","health","salud",,,"B.B B A.M",,,,,
0362,,"kuè'è ñà kí'vì shìnì","kue'e ña ki'vi shini","dolor de cabeza","headache","phrase","frase",,"kuè'è-ñà-kí'vì-shìnì","sickness-REL-sick-head","enfermedad-REL-enfermo-cabeza","health","salud",,,"B.B B A.B B.B",,,,,
0363,,"sèi","sei","gripa","cold","noun","sustantivo",,,,,"health","salud",,,"BM","*sayu","Josserand83:111",,,
0364,,"ntxì'i kuíxín","ntxi'i kuixin","varicela","chicken pox","noun","sustantivo",,"ntxì'i-kuíxín","pimple-white","grano-blanco","health","salud",,,"B.M A.A",,,,,
0365,,"níí yì'í","nii yi'i","susto, espanto","fright","?","?",,"níí-yì'í","?-be.scared","?-espantarse","health","salud",,,"BB B.A",,,"verbo",,
0366,,"shìnì","shini","cabeza","head","noun","sustantivo",,,,,"health","salud",,"Yes; in juxtaposition contexts","B.B",,,,,
0367,,"xí'ì yì'í","xi'i yi'i","epilepsia","epilepsy, seizure","phrase","frase",,"xí'ì-yì'í","die-scare","morir-espantarse","health","salud",,,"A.B B.A",,,"verbo",,
0368,,"kuè'è nùù","kue'e nuu","conjuntivitis","pink eye","phrase","frase",,"kuè'è-nùù","sickness-face","enfermedad-cara","health","salud",,"No","B.B BB",,,,,
0369,,"kuè'è ña ntókó","kue'e ña ntoko","mal de ojo","evil eye","phrase","frase",,"kuè'è-ña-ntókó","sickness-REL-ojo","enfermedad-REL-ojo","health","salud",,,"B.B M A.A",,,,"Looking or pointing at plants doing well and at babies will cause them to wilt or get sick. Does not affect elderly people",
0370,,"xìtxá","xitxa","mollera","fontanelle","noun","sustantivo",,"xìtxá","fall-fontanelle","caída-mollera","health","salud",,"No","A.B B.A",,,"verbo","illness related to babies",
